21,165,250
27,100,150
31,30,45
33,0,5
35,0,3500
53,0.35,0.6
75,0,0.2
84,5,15
131,50,150
134,10,90
177,250,350
244,0,120
257,-1.5,12
276,-20000,250
365,-125,0.5
